Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Item Add Automation,Chrome 67.0.3396.99,Custom Automation,2018-07-11 10:58:22,2018-07-11 11:03:11,4m - 48.722s,FAILED
,,,,,,
Test Cases/Custom Automations/ZI11-Add,Chrome 67.0.3396.99,Add item to ZI11,2018-07-11 10:58:23,2018-07-11 11:03:11,4m - 48.194s,FAILED
mainS3.portal.login,Chrome 67.0.3396.99,Login to Infor/Lawson - environment based upon url,2018-07-11 10:58:24,2018-07-11 10:58:43,19.465s,PASSED
mainS3.portal.goToForm,Chrome 67.0.3396.99,Navigate to S3 form ${token},2018-07-11 10:58:43,2018-07-11 10:58:46,2.773s,PASSED
mainS3.form.populateLineFields,Chrome 67.0.3396.99,Populate line fields with values,2018-07-11 10:58:46,2018-07-11 10:59:05,19.660s,PASSED
mainS3.form.formActionWithStatus,Chrome 67.0.3396.99,Add new record,2018-07-11 10:59:05,2018-07-11 11:03:09,4m - 3.163s,FAILED
