Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Item Add Automation,Chrome 67.0.3396.99,Custom Automation,2018-07-11 11:53:57,2018-07-11 11:54:48,51.268s,ERROR
,,,,,,
Test Cases/Custom Automations/ZI11-Add,Chrome 67.0.3396.99,Add item to ZI11,2018-07-11 11:53:57,2018-07-11 11:54:48,50.798s,ERROR
mainS3.portal.login,Chrome 67.0.3396.99,Login to Infor/Lawson - environment based upon url,2018-07-11 11:53:58,2018-07-11 11:54:19,21.082s,PASSED
mainS3.portal.goToForm,Chrome 67.0.3396.99,Navigate to S3 form ${token},2018-07-11 11:54:19,2018-07-11 11:54:22,3.158s,PASSED
mainS3.form.populateLineFields,Chrome 67.0.3396.99,Populate line fields with values,2018-07-11 11:54:22,2018-07-11 11:54:45,22.725s,PASSED
mainS3.form.formActionWithStatus,Chrome 67.0.3396.99,Add new record,2018-07-11 11:54:45,2018-07-11 11:54:46,0.857s,PASSED
mainS3.form.validateStatusMessage,Chrome 67.0.3396.99,,2018-07-11 11:54:46,2018-07-11 11:54:46,0.083s,ERROR
